Common Word,Total Frequency,Websites
Linz,93,"http://hoerstadt.at/uber-uns/ (62), https://kunstraum.at/en/how-we-are/ (12), https://kunstraum.at/wer-wir-sind/ (9), https://qujochoe.org/about/ (2), https://verenamayrhofer.at/ (4), https://www.grgr.at/aboutme/ (4)"
Art,28,"https://jmyyri.com/recliners (6), https://kunstraum.at/wer-wir-sind/ (15), https://röda.at/der-verein/ (3), https://www.grgr.at/aboutme/ (4)"
years,21,"http://www.interstellarrecords.at/index.php (18), https://qujochoe.org/about/ (1), https://röda.at/der-verein/ (2)"
work,14,"https://kunstraum.at/en/how-we-are/ (8), https://www.anna-kraher.de/#about (2), https://www.grgr.at/aboutme/ (4)"
City,30,"http://hoerstadt.at/uber-uns/ (27), https://verenamayrhofer.at/ (3)"
Culture,20,"http://hoerstadt.at/uber-uns/ (16), https://röda.at/der-verein/ (4)"
ArtRoom,28,"https://kunstraum.at/en/how-we-are/ (15), https://kunstraum.at/wer-wir-sind/ (13)"
Room,21,"http://hoerstadt.at/uber-uns/ (14), https://kunstraum.at/wer-wir-sind/ (7)"
Goethestrasse,17,"https://kunstraum.at/en/how-we-are/ (14), https://kunstraum.at/wer-wir-sind/ (3)"
xtd,18,"https://kunstraum.at/en/how-we-are/ (10), https://kunstraum.at/wer-wir-sind/ (8)"
space,12,"https://kunstraum.at/en/how-we-are/ (10), https://verenamayrhofer.at/ (2)"
installation,16,"http://www.grgr.at/ (6), https://www.grgr.at/aboutme/ (10)"
Gallery,12,"https://jmyyri.com/recliners (4), https://www.kuva.at/ (8)"
technical,10,"http://www.grgr.at/ (3), https://röda.at/der-verein/ (7)"
performance,11,"https://jmyyri.com/recliners (4), https://www.grgr.at/aboutme/ (7)"
light,11,"http://www.grgr.at/ (6), https://www.grgr.at/aboutme/ (5)"
Rathmayr,12,"https://kunstraum.at/en/how-we-are/ (6), https://kunstraum.at/wer-wir-sind/ (6)"
Blaimschein,12,"https://kunstraum.at/en/how-we-are/ (6), https://kunstraum.at/wer-wir-sind/ (6)"
pro,9,"https://kunstraum.at/en/how-we-are/ (5), https://kunstraum.at/wer-wir-sind/ (4)"
mind,9,"https://kunstraum.at/en/how-we-are/ (5), https://kunstraum.at/wer-wir-sind/ (4)"
public,7,"https://kunstraum.at/wer-wir-sind/ (3), https://www.grgr.at/aboutme/ (4)"
place,5,"https://kunstraum.at/en/how-we-are/ (4), https://tinaleisch.at/index.php/tinaleisch/ (1)"
University,6,"https://www.anna-kraher.de/#about (2), https://www.grgr.at/aboutme/ (4)"
Florian,8,"http://www.grgr.at/ (4), https://www.grgr.at/aboutme/ (4)"
Art Appreciation Award,7,"https://kunstraum.at/en/how-we-are/ (4), https://kunstraum.at/wer-wir-sind/ (3)"
artistic,5,"https://kunstraum.at/wer-wir-sind/ (3), https://verenamayrhofer.at/ (2)"
Cultural association,4,"https://röda.at/der-verein/ (2), https://www.schlot.info/ (2)"
