Common Word,Total Frequency,Websites
Cookies,140,"https://www.100-dakar.com (14), https://www.benjaminwahl.at (18), https://www.dasholzhaus.at (11), https://www.diequote.at (24), https://www.drehorgelkabarett.at (14), https://www.frautomani.at (4), https://www.ingridschiller.at (14), https://www.ottosaxinger.at (3), https://www.peligro.at (14), https://www.reinhardreisenzahn.com (4), https://www.schuledesungehorsams.at (2), https://www.skodone.at (18)"
Linz,330,"https://www.die-schule.at (91), https://www.finopoly.at (5), https://www.freie-medien.at (10), https://www.freizeitundkommunikation.at (3), https://www.linzfmr.at (18), https://www.pflueckt.at (3), https://www.qujochoe.org (174), https://www.steingeschichten.at (21), https://www.velodrom-linz.at (5)"
Art,71,"https://www.eipcp.net (13), https://www.faces-l.net (16), https://www.frauenkultur.at (16), https://www.kairus.org (6), https://www.kupf.at (6), https://www.negentropy-sport.net (2), https://www.radical-openness.org (8), https://www.triviale.at (4)"
Film,52,"https://www.apileofghosts.com (16), https://www.boxafilm.com (8), https://www.corpushomini.info (3), https://www.doublehappiness.at (12), https://www.hauntedspaces.net (5), https://www.retrogoldmine.com (8)"
Website,36,"https://www.apephonie.org (2), https://www.dasholzhaus.at (10), https://www.drehorgelkabarett.at (8), https://www.ingridschiller.at (8), https://www.peligro.at (8)"
Page,35,"https://www.hungaromedia.at (8), https://www.kuenstlerinnen.at (8), https://www.luckeneder-art.at (8), https://www.platform-socialism.org (3), https://www.regional-express.org (8)"
More,95,"https://www.derschueler.at (4), https://www.diebresche.org (23), https://www.lotta-gaffa.at (3), https://www.programmkinowels.at (65)"
March,49,"https://www.das-kollektiv.at (8), https://www.feminismus-krawall.at (16), https://www.fiftitu.at (19), https://www.unkraut-comics.at (6)"
Culture,39,"https://www.frauenkultur.at (17), https://www.igkultur.at (14), https://www.interregnum.live (5), https://www.konsortium.at (3)"
Rocky,32,"https://www.hungaromedia.at (8), https://www.kuenstlerinnen.at (8), https://www.luckeneder-art.at (8), https://www.regional-express.org (8)"
School,294,"https://www.alteschule-gutau.at (4), https://www.derschueler.at (5), https://www.die-schule.at (285)"
Uhr,202,"https://www.fro.at (20), https://www.qujochoe.org (170), https://www.rudolfhabringer.at (12)"
Radio,177,"https://www.radio-fri.at (6), https://www.schulradiotag.at (169), https://www.wegstrecken.at (2)"
Theater,65,"https://www.remorauscher.at (41), https://www.theater-tamtam.org (5), https://www.theaternacht.at (19)"
Project,18,"https://www.hoerspuren.at (3), https://www.kulturviertelwochen.at (3), https://www.shanefinan.org (12)"
Festival,21,"https://www.apileofghosts.com (11), https://www.filmriss.at (5), https://www.radical-openness.org (5)"
Working,14,"https://www.apephonie.org (2), https://www.fiftitu.at (10), https://www.leodressel.net (2)"
Site,13,"https://www.benjaminwahl.at (5), https://www.downinthehole.org (3), https://www.skodone.at (5)"
Design,57,"https://www.collective-ika.org (5), https://www.fraumayr.at (52)"
April,45,"https://www.archivia.at (33), https://www.rotespuren.at (12)"
Music,20,"https://www.lauthals.org (16), https://www.totalsilence.de (4)"
People,18,"https://www.donau-danube.eu (3), https://www.vonunten.at (15)"
Citizens' council,23,"https://www.buergerinnenrat.at (8), https://www.vonunten.at (15)"
Work,18,"https://www.eliot.at (7), https://www.grgr.at (11)"
Read,17,"https://www.ellaraidel.com (7), https://www.freie-medien.at (10)"
Magdalena,12,"https://www.magdalenareiter.at (2), https://www.themagdalenaproject.org (10)"
Admin,20,"https://www.anna-fiala.at (10), https://www.graztermine.at (10)"
Exhibition,16,"https://www.argemarie.at (9), https://www.bb15.at (7)"
Labor,10,"https://www.hoerstadt.at (2), https://www.migrazine.at (8)"
One,9,"https://www.arttraffic-strand.net (2), https://www.bb15.at (7)"
Association,10,"https://www.hr-ctrl.or.at (3), https://www.verein-ent.at (7)"
View,12,"https://www.boxafilm.com (6), https://www.retrogoldmine.com (6)"
Storage,12,"https://www.radio-fri.at (6), https://www.theater-tamtam.org (6)"
Februar,12,"https://www.tabeacray.com (6), https://www.unkraut-comics.at (6)"
Andreas,8,"https://www.andreaskurz.net (2), https://www.andreaszingerle.com (6)"
Years,9,"https://www.dasfundus.net (5), https://www.workstation.or.at (4)"
Installation,8,"https://www.anja.west.servus.at (3), https://www.geraldkogler.com (5)"
Anna,8,"https://www.anna-kraher.de (5), https://www.lllk.at (3)"
Casino,7,"https://www.photosalonhelga.com (3), https://www.photosalonhelga.com (4)"
New,5,"https://www.okabre.com (2), https://www.totalsilence.de (3)"
Otto,4,"https://www.otre.at (2), https://www.ottosaxinger.at (2)"
Contents,4,"https://www.mute.audio (2), https://www.republicart.net (2)"
