Common Word,Total Frequency,Websites
Linz,444,"https://www.argemarie.at (8), https://www.collective-ika.org (2), https://www.dasparkhotel.net (2), https://www.die-schule.at (91), https://www.diequote.at (5), https://www.diesenreiter.at (18), https://www.drehorgelkabarett.at (2), https://www.fiftitu.at (4), https://www.finopoly.at (5), https://www.frauenkultur.at (15), https://www.freie-medien.at (10), https://www.freizeitundkommunikation.at (3), https://www.fro.at (5), https://www.konsortium.at (2), https://www.linzfmr.at (18), https://www.merker.tv (2), https://www.pena-flamenca.at (4), https://www.pflueckt.at (3), https://www.qujochoe.org (174), https://www.radical-openness.org (3), https://www.remorauscher.at (26), https://www.rudolfhabringer.at (2), https://www.sdmk.at (3), https://www.selbstlaut.net (2), https://www.steingeschichten.at (22), https://www.stwst.at (2), https://www.theaternyx.at (3), https://www.unkraut-comics.at (3), https://www.velodrom-linz.at (5)"
Website,128,"https://www.100-dakar.com (8), https://www.anja.west.servus.at (2), https://www.apephonie.org (2), https://www.benjaminwahl.at (5), https://www.buergerinnenrat.at (5), https://www.dasholzhaus.at (10), https://www.dasholzhaus.at (2), https://www.diequote.at (10), https://www.downinthehole.org (3), https://www.drehorgelkabarett.at (8), https://www.frautomani.at (2), https://www.frf.at (3), https://www.hungaromedia.at (5), https://www.ingridschiller.at (8), https://www.kuenstlerinnen.at (5), https://www.kuva.at (9), https://www.luckeneder-art.at (5), https://www.ottosaxinger.at (2), https://www.peligro.at (8), https://www.platform-socialism.org (2), https://www.regional-express.org (5), https://www.reinhardreisenzahn.com (2), https://www.remember-bruckner.com (5), https://www.skodone.at (5), https://www.stefaner-schmid.net (2), https://www.theater-tamtam.org (2), https://www.themagdalenaproject.org (3)"
März,173,"https://www.backwood.at (5), https://www.bb15.at (2), https://www.cinemanext.at (5), https://www.das-kollektiv.at (8), https://www.diesenreiter.at (12), https://www.feminismus-krawall.at (16), https://www.fiftitu.at (20), https://www.fro.at (4), https://www.igkultur.at (12), https://www.igkultur.at (5), https://www.kellerabteil.org (6), https://www.kunstraum.at (2), https://www.kuva.at (7), https://www.nurdietoten.at (2), https://www.remorauscher.at (31), https://www.rotespuren.at (14), https://www.sunobwegeser.net (2), https://www.tabeacray.com (5), https://www.unkraut-comics.at (6), https://www.zapalotta.org (9)"
Kunst,104,"https://www.100-dakar.com (2), https://www.andreaszingerle.com (3), https://www.dasfundus.net (3), https://www.diequote.at (5), https://www.diesenreiter.at (21), https://www.eipcp.net (6), https://www.fdr.at (2), https://www.fiftitu.at (4), https://www.frauenkultur.at (16), https://www.innenraumlavinia.at (5), https://www.konsortium.at (2), https://www.kunstraum.at (3), https://www.kupf.at (6), https://www.linzfmr.at (4), https://www.shanefinan.org (4), https://www.triviale.at (4), https://www.verein-ent.at (6), https://www.villanorth.at (6), https://www.wolfgang-muellegger.at (2)"
Mehr,199,"https://www.alteschule-gutau.at (2), https://www.boxafilm.com (4), https://www.derschueler.at (4), https://www.die-schule.at (57), https://www.diebresche.org (23), https://www.freie-medien.at (3), https://www.frf.at (3), https://www.heartofnoise.at (3), https://www.lotta-gaffa.at (3), https://www.peterandrosch.at (4), https://www.programmkinowels.at (65), https://www.radio-fri.at (4), https://www.retrogoldmine.com (4), https://www.rotespuren.at (4), https://www.texta.at (2), https://www.theater-tamtam.org (2), https://www.triviale.at (2), https://www.vonunten.at (10)"
Menschen,104,"https://www.die-schule.at (48), https://www.donau-danube.eu (3), https://www.feminismus-krawall.at (2), https://www.feminismus-krawall.at (3), https://www.fuckhead.at (2), https://www.ig-demokratie.at (3), https://www.kunstraum.at (3), https://www.platform-socialism.org (2), https://www.rudolfhabringer.at (2), https://www.streettraining.org (3), https://www.theater-tamtam.org (2), https://www.valina.at (8), https://www.vonunten.at (15), https://www.waytoshambala.org (2), https://www.werkenmitwiderstand.org (2), https://www.wirtshauswissenschaften.at (2), https://www.zeitgenossenschaft.at (2)"
Art,100,"https://www.100-dakar.com (8), https://www.akku-steyr.com (2), https://www.bettywimmer.net (2), https://www.doublehappiness.at (3), https://www.eipcp.net (13), https://www.faces-l.net (16), https://www.kairus.org (6), https://www.kunstraum.at (4), https://www.linzfmr.at (11), https://www.mzbaltazarslaboratory.org (9), https://www.negentropy-sport.net (2), https://www.quasikunst.at (2), https://www.radical-openness.org (9), https://www.shanefinan.org (4), https://www.themagdalenaproject.org (2), https://www.unruly-thoughts.com (5), https://www.wirtshauswissenschaften.at (2)"
Cookies,154,"https://www.100-dakar.com (14), https://www.benjaminwahl.at (18), https://www.dasholzhaus.at (11), https://www.diequote.at (24), https://www.drehorgelkabarett.at (14), https://www.ellaraidel.com (3), https://www.frautomani.at (4), https://www.ingridschiller.at (14), https://www.kuva.at (7), https://www.ottosaxinger.at (3), https://www.peligro.at (14), https://www.photosalonhelga.com (2), https://www.reinhardreisenzahn.com (4), https://www.schuledesungehorsams.at (2), https://www.skodone.at (18), https://www.werkenmitwiderstand.org (2)"
Projekt,54,"https://www.backlab.at (2), https://www.donau-danube.eu (2), https://www.gfa.or.at (3), https://www.hauntedspaces.net (2), https://www.hoerspuren.at (3), https://www.hungaromedia.at (2), https://www.kolibri-schule.at (2), https://www.kuenstlerinnen.at (2), https://www.kulturviertelwochen.at (3), https://www.luckeneder-art.at (2), https://www.regional-express.org (2), https://www.remember-bruckner.com (2), https://www.shanefinan.org (12), https://www.steingeschichten.at (7), https://www.themagdalenaproject.org (5), https://www.velodrom-linz.at (3)"
Neu,101,"https://www.andreaszingerle.com (3), https://www.bb15.at (3), https://www.doublehappiness.at (3), https://www.eipcp.net (8), https://www.faces-l.net (7), https://www.hauntedspaces.net (2), https://www.interstellarrecords.at (47), https://www.okabre.com (2), https://www.platform-socialism.org (2), https://www.shanefinan.org (9), https://www.stwst.at (3), https://www.totalsilence.de (3), https://www.triviale.at (2), https://www.tschneid.servus.at (4), https://www.waytoshambala.org (3)"
