Common Word,Total Frequency,Websites
Linz,89,"http://hoerstadt.at/uber-uns/ (62), https://kunstraum.at/en/how-we-are/ (12), https://kunstraum.at/wer-wir-sind/ (9), https://qujochoe.org/about/ (2), https://www.grgr.at/aboutme/ (4)"
Kunst,34,"https://kunstraum.at/en/how-we-are/ (16), https://kunstraum.at/wer-wir-sind/ (15), https://röda.at/der-verein/ (3)"
Arbeit,20,"http://www.grgr.at/ (10), https://kunstraum.at/en/how-we-are/ (8), https://www.anna-kraher.de/#about (2)"
KunstRaum,28,"https://kunstraum.at/en/how-we-are/ (15), https://kunstraum.at/wer-wir-sind/ (13)"
Goethestraße,25,"https://kunstraum.at/en/how-we-are/ (14), https://kunstraum.at/wer-wir-sind/ (11)"
xtd,18,"https://kunstraum.at/en/how-we-are/ (10), https://kunstraum.at/wer-wir-sind/ (8)"
Raum,17,"https://kunstraum.at/en/how-we-are/ (10), https://kunstraum.at/wer-wir-sind/ (7)"
Installation,16,"http://www.grgr.at/ (6), https://www.grgr.at/aboutme/ (10)"
Licht,11,"http://www.grgr.at/ (6), https://www.grgr.at/aboutme/ (5)"
Kultur,10,"https://kunstraum.at/en/how-we-are/ (6), https://röda.at/der-verein/ (4)"
Ausstellung,10,"https://kuprosauwald.org/ (4), https://www.grgr.at/aboutme/ (6)"
Art,10,"https://jmyyri.com/recliners (6), https://www.grgr.at/aboutme/ (4)"
