Most Common Words,Frequency

WEB Adress,https://www.fuckhead.at/
always,6
Spiked,5
Kapital,5
Capitalism,4
Demons,4
Boundaries,4
Sky,3
Redistribution,3
Ownership,3
leaves,3

WEB Adress,http://www.interstellarrecords.at/index.php
release,49
new,46
link,41
releases,38
Records,31
album,29
interstellar,28
Interstellar,21
one,21
TUMIDO,20

WEB Adress,https://kuprosauwald.org/
Saved,10
Obernberg,9
Petra,8
october,7
Art house,6
Burg,6
Esternberg,6
Sunday,5
Helmut,5
Exhibition,4

WEB Adress,https://röda.at/der-verein/
technical,7
Storage,6
Steyr,4
Culture,4
Purpose,4
Access,4
since,3
Weir ditch,3
events,3
Art,3

WEB Adress,http://www.grgr.at/
Gregory,20
Göttfert,10
Work,10
Posted,10
installation,6
light,6
Florian,4
Kofler,4
Electromagnetism,4
performanceGregor,4

WEB Adress,https://www.grgr.at/aboutme/
installation,10
performance,7
Interactive,7
half,6
exhibition,6
light,5
Lake Attersee,4
Linz,4
University,4
Art,4

WEB Adress,https://qujochoe.org/about/
Andreas,3
Stefan,3
Martin.,3
couch grass,3
Christine,3
Linz,2
Günther,2
Markus,2
Nina,2
Theresa,2

WEB Adress,https://verenamayrhofer.at/
Verena,3
Mayrhofer,3
Theme,2
Responsive,1
Menuwork contact,1
infoCV,1
objectWhy,1
crack,1
smile,1
photo,1

WEB Adress,http://hoerstadt.at/uber-uns/
Peter,73
Androsch,66
Linz,62
Austria,53
Hörstadt,35
Acoustics,30
City,27
Vienna,26
Church,25
ÖGB,24

WEB Adress,https://www.schlot.info/
Cultural association,2
Mailchimp,2
Hyperdog,1
Love,1
Curb,1
Loser,1
Ozymandias,1
ChangoNEWS,1
LETTERYour,1
Name,1

WEB Adress,https://tinaleisch.at/index.php/tinaleisch/
Tina,3
LeischFilm,2
Text,2
Leisch,1
LeischTina,1
Theatre workerMenuSpringe,1
ContentsTina,1
Theatre worker,1
ViennaDesigns,1
Theaterexperimente,1

WEB Adress,https://kunstraum.at/en/how-we-are/
art,16
ArtRoom,15
Goethestrasse,14
Linz,12
xtd,10
space,10
work,8
spaces,8
projects,7
cultural,6

WEB Adress,https://kunstraum.at/wer-wir-sind/
Art,15
ArtRoom,13
Goethestrasse,11
Linz,9
xtd,8
Room,7
Blaimschein,6
Rathmayr,6
Exhibitions,4
pro,4

WEB Adress,https://www.kuva.at/
Speech code,13
Februar,12
PHOTO,9
Website,9
Gallery,8
Tower,7
Cookies,7
Michaela,6
City Museum,6
ANTON,6

WEB Adress,https://jmyyri.com/recliners
screening,8
ART,6
Amsterdam,6
curated,6
only,6
show,6
NEVERNEVERLAND,6
Art,6
Fund,6
Jaakko,4

WEB Adress,https://www.anna-kraher.de/#about
Anna,4
Kraher,3
Algorithmic,3
Justice,3
Space,3
Berlin,3
work,2
Artificial,2
Intelligence,2
Biometrics,2

